row_A,openhermes_index,source,category,turns,chars,group_Llama-8B,group_Llama-70B,group_Qwen-14B
0,82889,CamelAI,,2,714,0,0,1
1,255845,glaive-code-assist,,2,2498,0,1,0
2,371504,glaive-code-assist,,2,2983,1,1,1
3,304708,glaive-code-assist,,2,1982,0,1,0
4,225975,glaive-code-assist,,2,1616,0,0,0
5,536772,,,3,4373,2,1,0
6,902686,,,3,820,2,1,0
7,32464,airoboros2.2,multiple_choice,2,745,0,1,0
8,977141,,,2,578,0,0,0
9,588848,,,3,1921,2,1,0
10,952591,,,2,2219,0,1,1
11,973377,,,2,4010,0,1,1
12,914882,,,3,1364,2,1,0
13,619506,,,3,928,2,1,0
14,633296,,,3,1565,2,1,0
15,205207,EvolInstruct_70k,,2,1859,0,1,0
16,401566,GPT-4 Comparison Data,,2,408,0,1,0
17,141633,cot_alpaca_gpt4,,2,1774,0,1,0
18,530177,,,3,2602,2,1,0
19,354993,glaive-code-assist,,2,2231,0,1,1
20,763662,,,3,1145,2,1,0
21,399311,GPT-4 Comparison Data,,2,498,0,1,0
22,495932,metamath,,2,559,0,0,0
23,357108,glaive-code-assist,,2,1283,0,1,1
24,553072,,,3,1614,2,1,0
25,769644,,,3,910,1,1,0
26,133421,cot_alpaca_gpt4,,2,894,0,1,1
27,687246,,,3,1725,2,0,0
28,990815,,,2,709,0,1,0
29,465124,metamath,,2,672,0,0,0
30,687159,,,3,1422,2,0,0
31,837558,,,2,823,0,0,1
32,150492,cot_alpaca_gpt4,,2,1366,0,1,1
33,158245,cot_alpaca_gpt4,,2,248,0,0,1
34,211342,EvolInstruct_70k,,2,3839,0,1,0
35,912467,,,3,620,2,0,1
36,556126,,,3,403,1,0,1
37,462514,metamath,,2,430,0,0,1
38,655510,,,3,2832,2,1,1
39,940624,,,2,461,0,0,0
40,840826,,,3,1156,1,1,0
41,653494,,,3,776,2,1,0
42,468891,metamath,,2,1066,0,0,0
43,627902,,,3,3647,1,1,0
44,426624,,,2,194,0,1,0
45,361258,glaive-code-assist,,2,1170,0,1,1
46,893685,,,3,3031,2,1,0
47,899844,,,3,913,2,0,0
48,521205,,,3,1700,2,1,0
49,113966,caseus_custom,,2,168,0,0,1
50,448217,metamath,,2,401,0,0,0
51,107170,CamelAI,,2,2713,0,1,1
52,752641,,,3,966,1,1,0
53,284418,glaive-code-assist,,2,828,0,1,1
54,314869,glaive-code-assist,,2,1071,0,1,0
55,757541,,,3,2372,2,0,0
56,420377,,,2,712,0,1,0
57,74190,CamelAI,,2,2485,0,0,1
58,192655,EvolInstruct_70k,,2,267,0,0,0
59,649189,,,3,505,2,1,1
60,270138,glaive-code-assist,,2,900,0,1,0
61,95494,CamelAI,,2,1725,0,0,0
62,808412,,,3,4182,2,1,0
63,383112,glaive-code-assist,,2,1401,0,1,0
64,544497,,,2,828,0,0,0
65,802251,,,3,2836,2,1,0
66,113474,CamelAI,,2,3318,0,0,1
67,826008,,,3,454,1,1,1
68,680048,,,3,481,2,1,1
69,818378,,,3,2498,2,0,1
70,723152,,,3,1015,1,1,0
71,70439,CamelAI,,2,1195,0,0,0
72,94164,CamelAI,,2,2765,2,1,1
73,726095,,,3,1810,1,1,0
74,196723,EvolInstruct_70k,,2,127,0,0,0
75,984420,,,2,3302,0,1,1
76,808562,,,3,2429,2,0,0
77,768002,,,3,3126,1,1,0
78,881647,,,3,1357,2,1,0
79,914021,,,3,1291,2,1,0
80,215762,glaive-code-assist,,2,2564,0,1,1
81,813170,,,3,1727,1,1,0
82,742128,,,3,865,2,1,1
83,660131,,,3,872,2,1,1
84,549786,,,3,481,2,0,1
85,561803,,,3,1748,2,1,0
86,864121,,,3,1810,1,1,0
87,307281,glaive-code-assist,,2,2135,0,1,1
88,93814,CamelAI,,2,2614,0,0,1
89,699142,,,3,1415,2,1,0
90,922595,platypus,,2,874,0,1,1
91,642956,,,2,321,0,0,0
92,845181,,,3,963,1,1,1
93,75998,CamelAI,,2,525,0,0,1
94,304533,glaive-code-assist,,2,1055,0,1,0
95,723733,,,3,1684,1,1,0
96,361103,glaive-code-assist,,2,2710,0,1,1
97,600626,,,3,1227,2,0,0
98,338576,glaive-code-assist,,2,1551,0,1,1
99,702245,,,3,1001,2,1,0
100,78459,CamelAI,,2,231,0,0,0
101,857561,,,3,838,2,1,1
102,880096,,,3,1216,2,1,0
103,456980,metamath,,2,445,0,0,0
104,237035,glaive-code-assist,,2,1333,0,0,0
105,407409,GPT-4 Comparison Data,,2,182,0,0,1
106,329621,glaive-code-assist,,2,1478,0,1,0
107,994074,,,2,948,0,0,0
108,788605,,,3,1349,2,1,0
109,447254,metamath,,2,1621,0,1,1
110,341980,glaive-code-assist,,2,1178,0,1,0
111,858642,,,3,1469,2,1,0
